ts;id;resource;event
Sun Feb 27 01:36:54 CET 2022;1463;agv;transport_to_cell2_buffer
Sun Feb 27 01:37:00 CET 2022;1440;system;order_completed
Sun Feb 27 01:37:46 CET 2022;1521;system;new_order
Sun Feb 27 01:37:46 CET 2022;1521;system;direct_to_line2
Sun Feb 27 01:42:28 CET 2022;1447;cell2_buffer;enter_cell2
Sun Feb 27 01:42:28 CET 2022;1447;cell2;cell2_operation
Sun Feb 27 01:42:28 CET 2022;1464;agv;transport_to_cell1_buffer
Sun Feb 27 01:42:34 CET 2022;1445;system;order_completed
Sun Feb 27 01:43:50 CET 2022;1464;cell1_buffer;enter_cell1
Sun Feb 27 01:43:50 CET 2022;1465;agv;transport_to_cell1_buffer
Sun Feb 27 01:43:50 CET 2022;1464;cell1;cell1_operation
Sun Feb 27 01:45:09 CET 2022;1466;agv;transport_to_cell2_buffer
Sun Feb 27 01:47:53 CET 2022;1449;cell2_buffer;enter_cell2
Sun Feb 27 01:47:53 CET 2022;1449;cell2;cell2_operation
Sun Feb 27 01:47:59 CET 2022;1447;system;order_completed
Sun Feb 27 01:49:39 CET 2022;1467;agv;transport_to_cell1_buffer
Sun Feb 27 01:51:36 CET 2022;1465;cell1_buffer;enter_cell1
Sun Feb 27 01:51:36 CET 2022;1465;cell1;cell1_operation
Sun Feb 27 01:51:41 CET 2022;1464;system;order_completed
Sun Feb 27 01:52:18 CET 2022;1468;agv;transport_to_cell1_buffer
Sun Feb 27 01:53:03 CET 2022;1469;agv;transport_to_cell1_buffer
Sun Feb 27 01:55:24 CET 2022;1470;agv;transport_to_cell2_buffer
Sun Feb 27 01:55:29 CET 2022;1522;system;new_order
Sun Feb 27 01:55:29 CET 2022;1522;system;direct_to_line1
Sun Feb 27 01:55:59 CET 2022;1449;system;order_completed
Sun Feb 27 01:57:11 CET 2022;1467;cell1_buffer;enter_cell1
Sun Feb 27 01:57:11 CET 2022;1467;cell1;cell1_operation
Sun Feb 27 01:57:16 CET 2022;1465;system;order_completed
Sun Feb 27 02:01:11 CET 2022;1468;cell1_buffer;enter_cell1
Sun Feb 27 02:01:11 CET 2022;1468;cell1;cell1_operation
Sun Feb 27 02:01:16 CET 2022;1467;system;order_completed
Sun Feb 27 02:02:34 CET 2022;1523;system;new_order
Sun Feb 27 02:02:34 CET 2022;1523;system;direct_to_line1
Sun Feb 27 02:04:14 CET 2022;1524;system;new_order
Sun Feb 27 02:04:14 CET 2022;1524;system;direct_to_line1
Sun Feb 27 02:04:16 CET 2022;1525;system;new_order
Sun Feb 27 02:04:16 CET 2022;1525;system;direct_to_line2
Sun Feb 27 02:05:55 CET 2022;1451;cell2_buffer;enter_cell2
Sun Feb 27 02:05:55 CET 2022;1451;cell2;cell2_operation
Sun Feb 27 02:05:55 CET 2022;1471;agv;transport_to_cell2_buffer
Sun Feb 27 02:08:53 CET 2022;1469;cell1_buffer;enter_cell1
Sun Feb 27 02:08:53 CET 2022;1469;cell1;cell1_operation
Sun Feb 27 02:08:59 CET 2022;1468;system;order_completed
Sun Feb 27 02:11:21 CET 2022;1526;system;new_order
Sun Feb 27 02:11:21 CET 2022;1526;system;direct_to_line2
Sun Feb 27 02:11:29 CET 2022;1452;cell2_buffer;enter_cell2
Sun Feb 27 02:11:29 CET 2022;1452;cell2;cell2_operation
Sun Feb 27 02:11:29 CET 2022;1472;agv;transport_to_cell1_buffer
Sun Feb 27 02:11:35 CET 2022;1451;system;order_completed
Sun Feb 27 02:12:01 CET 2022;1473;agv;transport_to_cell2_buffer
Sun Feb 27 02:13:52 CET 2022;1472;cell1_buffer;enter_cell1
Sun Feb 27 02:13:52 CET 2022;1472;cell1;cell1_operation
Sun Feb 27 02:13:58 CET 2022;1469;system;order_completed
Sun Feb 27 02:17:37 CET 2022;1454;cell2_buffer;enter_cell2
Sun Feb 27 02:17:37 CET 2022;1454;cell2;cell2_operation
Sun Feb 27 02:17:37 CET 2022;1474;agv;transport_to_cell2_buffer
Sun Feb 27 02:17:42 CET 2022;1452;system;order_completed
Sun Feb 27 02:19:07 CET 2022;1527;system;new_order
Sun Feb 27 02:19:07 CET 2022;1527;system;direct_to_line2
Sun Feb 27 02:21:42 CET 2022;1472;system;order_completed
Sun Feb 27 02:22:03 CET 2022;1528;system;new_order
Sun Feb 27 02:22:03 CET 2022;1528;system;direct_to_line1
Sun Feb 27 02:23:47 CET 2022;1457;cell2_buffer;enter_cell2
Sun Feb 27 02:23:47 CET 2022;1457;cell2;cell2_operation
Sun Feb 27 02:23:47 CET 2022;1475;agv;transport_to_cell1_buffer
Sun Feb 27 02:23:53 CET 2022;1454;system;order_completed
Sun Feb 27 02:24:58 CET 2022;1475;cell1_buffer;enter_cell1
Sun Feb 27 02:24:58 CET 2022;1476;agv;transport_to_cell1_buffer
Sun Feb 27 02:24:58 CET 2022;1475;cell1;cell1_operation
Sun Feb 27 02:27:52 CET 2022;1529;system;new_order
Sun Feb 27 02:27:52 CET 2022;1529;system;direct_to_line1
Sun Feb 27 02:28:03 CET 2022;1477;agv;transport_to_cell2_buffer
Sun Feb 27 02:28:52 CET 2022;1457;system;order_completed
Sun Feb 27 02:29:08 CET 2022;1530;system;new_order
Sun Feb 27 02:29:08 CET 2022;1530;system;direct_to_line1
Sun Feb 27 02:29:33 CET 2022;1531;system;new_order
Sun Feb 27 02:29:33 CET 2022;1531;system;direct_to_line1
Sun Feb 27 02:30:16 CET 2022;1532;system;new_order
Sun Feb 27 02:30:16 CET 2022;1532;system;direct_to_line2
Sun Feb 27 02:31:06 CET 2022;1476;cell1_buffer;enter_cell1
Sun Feb 27 02:31:06 CET 2022;1476;cell1;cell1_operation
Sun Feb 27 02:31:12 CET 2022;1475;system;order_completed
Sun Feb 27 02:36:37 CET 2022;1476;system;order_completed
Sun Feb 27 02:39:10 CET 2022;1459;cell2_buffer;enter_cell2
Sun Feb 27 02:39:10 CET 2022;1459;cell2;cell2_operation
Sun Feb 27 02:39:10 CET 2022;1478;agv;transport_to_cell1_buffer
Sun Feb 27 02:39:10 CET 2022;1478;cell1_buffer;enter_cell1
Sun Feb 27 02:39:10 CET 2022;1479;agv;transport_to_cell1_buffer
Sun Feb 27 02:39:10 CET 2022;1478;cell1;cell1_operation
Sun Feb 27 02:39:49 CET 2022;1533;system;new_order
Sun Feb 27 02:39:49 CET 2022;1533;system;direct_to_line1
Sun Feb 27 02:40:44 CET 2022;1480;agv;transport_to_cell1_buffer
Sun Feb 27 02:42:27 CET 2022;1481;agv;transport_to_cell2_buffer
Sun Feb 27 02:43:39 CET 2022;1534;system;new_order
Sun Feb 27 02:43:39 CET 2022;1534;system;direct_to_line1
Sun Feb 27 02:44:54 CET 2022;1460;cell2_buffer;enter_cell2
Sun Feb 27 02:44:54 CET 2022;1460;cell2;cell2_operation
Sun Feb 27 02:45:00 CET 2022;1459;system;order_completed
Sun Feb 27 02:46:51 CET 2022;1482;agv;transport_to_cell1_buffer
Sun Feb 27 02:47:20 CET 2022;1479;cell1_buffer;enter_cell1
Sun Feb 27 02:47:20 CET 2022;1479;cell1;cell1_operation
Sun Feb 27 02:47:23 CET 2022;1535;system;new_order
