ts;resource;state
Thu Feb 24 07:32:24 CET 2022;agv;idle
Thu Feb 24 07:32:24 CET 2022;cell1;busy
Thu Feb 24 07:32:24 CET 2022;agv;busy
Thu Feb 24 07:33:56 CET 2022;cell2;idle
Thu Feb 24 07:33:56 CET 2022;cell2;failure
Thu Feb 24 07:35:59 CET 2022;agv;idle
Thu Feb 24 07:35:59 CET 2022;agv;busy
Thu Feb 24 07:36:18 CET 2022;cell1;idle
Thu Feb 24 07:36:18 CET 2022;cell1;busy
Thu Feb 24 07:38:29 CET 2022;agv;idle
Thu Feb 24 07:41:21 CET 2022;cell1;idle
Thu Feb 24 07:42:12 CET 2022;agv;busy
Thu Feb 24 07:42:52 CET 2022;cell2;idle
Thu Feb 24 07:42:52 CET 2022;cell2;busy
Thu Feb 24 07:45:06 CET 2022;agv;idle
Thu Feb 24 07:45:06 CET 2022;cell1;busy
Thu Feb 24 07:45:06 CET 2022;agv;busy
Thu Feb 24 07:47:57 CET 2022;agv;idle
Thu Feb 24 07:47:57 CET 2022;agv;busy
Thu Feb 24 07:48:31 CET 2022;cell2;idle
Thu Feb 24 07:48:31 CET 2022;cell2;busy
Thu Feb 24 07:49:11 CET 2022;agv;idle
Thu Feb 24 07:49:11 CET 2022;agv;busy
Thu Feb 24 07:51:23 CET 2022;agv;idle
Thu Feb 24 07:52:13 CET 2022;cell1;idle
Thu Feb 24 07:52:13 CET 2022;cell1;busy
Thu Feb 24 07:53:26 CET 2022;cell2;idle
Thu Feb 24 07:53:26 CET 2022;cell2;busy
Thu Feb 24 07:57:45 CET 2022;cell1;idle
Thu Feb 24 07:57:45 CET 2022;cell1;busy
Thu Feb 24 07:59:08 CET 2022;cell2;idle
Thu Feb 24 07:59:08 CET 2022;cell2;busy
Thu Feb 24 07:59:42 CET 2022;agv;busy
Thu Feb 24 08:03:18 CET 2022;agv;idle
Thu Feb 24 08:03:18 CET 2022;agv;busy
Thu Feb 24 08:03:34 CET 2022;cell1;idle
Thu Feb 24 08:04:36 CET 2022;cell2;idle
Thu Feb 24 08:04:36 CET 2022;cell2;failure
Thu Feb 24 08:07:12 CET 2022;agv;idle
Thu Feb 24 08:07:12 CET 2022;agv;busy
Thu Feb 24 08:09:52 CET 2022;agv;idle
Thu Feb 24 08:11:17 CET 2022;agv;busy
Thu Feb 24 08:13:10 CET 2022;agv;idle
Thu Feb 24 08:13:10 CET 2022;agv;busy
Thu Feb 24 08:16:03 CET 2022;cell2;idle
Thu Feb 24 08:16:03 CET 2022;cell2;busy
Thu Feb 24 08:16:03 CET 2022;agv;idle
Thu Feb 24 08:16:03 CET 2022;agv;busy
Thu Feb 24 08:23:34 CET 2022;cell2;idle
Thu Feb 24 08:23:34 CET 2022;cell2;busy
Thu Feb 24 08:23:34 CET 2022;agv;idle
Thu Feb 24 08:23:34 CET 2022;agv;busy
Thu Feb 24 08:26:33 CET 2022;agv;idle
Thu Feb 24 08:26:33 CET 2022;cell1;busy
Thu Feb 24 08:26:33 CET 2022;agv;busy
Thu Feb 24 08:30:27 CET 2022;cell2;idle
Thu Feb 24 08:30:27 CET 2022;cell2;busy
Thu Feb 24 08:30:50 CET 2022;agv;idle
Thu Feb 24 08:30:50 CET 2022;agv;busy
Thu Feb 24 08:33:25 CET 2022;cell1;idle
Thu Feb 24 08:34:09 CET 2022;cell1;failure
Thu Feb 24 08:36:35 CET 2022;cell2;idle
Thu Feb 24 08:36:35 CET 2022;cell2;failure
Thu Feb 24 08:45:18 CET 2022;cell1;idle
Thu Feb 24 08:45:28 CET 2022;cell2;idle
Thu Feb 24 08:45:28 CET 2022;cell2;busy
Thu Feb 24 08:45:28 CET 2022;agv;idle
Thu Feb 24 08:45:28 CET 2022;agv;busy
Thu Feb 24 08:45:51 CET 2022;agv;idle
Thu Feb 24 08:45:51 CET 2022;cell1;busy
Thu Feb 24 08:45:51 CET 2022;agv;busy
Thu Feb 24 08:46:04 CET 2022;agv;idle
Thu Feb 24 08:46:04 CET 2022;agv;busy
Thu Feb 24 08:52:23 CET 2022;cell2;idle
Thu Feb 24 08:52:23 CET 2022;cell2;busy
Thu Feb 24 08:52:23 CET 2022;agv;idle
Thu Feb 24 08:52:23 CET 2022;agv;busy
Thu Feb 24 08:52:30 CET 2022;cell1;idle
Thu Feb 24 08:52:30 CET 2022;cell1;busy
Thu Feb 24 08:53:41 CET 2022;agv;idle
Thu Feb 24 08:53:41 CET 2022;agv;busy
Thu Feb 24 08:55:13 CET 2022;agv;idle
Thu Feb 24 08:55:13 CET 2022;agv;busy
Thu Feb 24 08:56:05 CET 2022;agv;idle
Thu Feb 24 08:56:05 CET 2022;agv;busy
